Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD816,Mumbai,St Xaviers College,1st,Electric Vehicle,College Collaboration
LD817,Pune,Chandigarh University,3rd,Data Science,WhatsApp
LD818,Jaipur,Indus University,2nd,AI,Google Form
LD819,Bangalore,Gujarat Institute Of Technology,1st,AI,Google Form
LD820,Delhi,Chandigarh University,1st,Electric Vehicle,Instagram
LD821,Bangalore,Chandigarh University,2nd,Electric Vehicle,College Collaboration
LD822,Hyderabad,Indus University,1st,Electric Vehicle,Google Form
LD823,Surat,Indus University,1st,Data Science,Google Form
LD824,Kolkata,Chandigarh University,4th,Data Science,Instagram
LD825,Delhi,Chandigarh University,4th,AI,Mass-Mailing
LD826,Surat,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD827,Surat,Nirma University,2nd,Electric Vehicle,Mass-Mailing
LD828,Hyderabad,Chandigarh University,1st,AI,WhatsApp
LD829,Ahmedabad,CPET Academy,4th,Robotics,Google Form
LD830,Hyderabad,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD831,Chandigarh,Indus University,3rd,Robotics,WhatsApp
LD832,Hyderabad,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD833,Ahmedabad,St Xaviers College,3rd,Data Science,LinkedIn
LD834,Chandigarh,Nirma University,3rd,Electric Vehicle,College Collaboration
LD835,Hyderabad,St Xaviers College,1st,Data Science,Mass-Mailing
LD836,Ahmedabad,CPET Academy,1st,Data Science,LinkedIn
LD837,Pune,Nirma University,3rd,Data Science,WhatsApp
LD838,Jaipur,St Xaviers College,4th,Electric Vehicle,WhatsApp
LD839,Bangalore,St Xaviers College,4th,Robotics,WhatsApp
LD840,Bangalore,Chandigarh University,2nd,AI,Instagram
LD841,Pune,Chandigarh University,1st,Robotics,WhatsApp
LD842,Bangalore,Nirma University,2nd,Electric Vehicle,Google Form
LD843,Bangalore,Chandigarh University,1st,Data Science,LinkedIn
LD844,Ahmedabad,Chandigarh University,1st,Data Science,WhatsApp
LD845,Bangalore,Nirma University,1st,Data Science,Google Form
LD846,Pune,CPET Academy,1st,AI,Instagram
LD847,Ahmedabad,CPET Academy,4th,Data Science,Google Form
LD848,Kolkata,St Xaviers College,1st,Data Science,Mass-Mailing
LD849,Pune,CPET Academy,2nd,Data Science,Google Form
LD850,Bangalore,CPET Academy,4th,Robotics,Mass-Mailing
LD851,Kolkata,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD852,Hyderabad,Nirma University,2nd,Data Science,Google Form
LD853,Kolkata,St Xaviers College,1st,AI,Instagram
LD854,Pune,Indus University,2nd,Data Science,Instagram
LD855,Hyderabad,Indus University,2nd,AI,LinkedIn
LD856,Hyderabad,Gujarat Institute Of Technology,3rd,Robotics,Mass-Mailing
LD857,Chandigarh,St Xaviers College,4th,Robotics,Google Form
LD858,Bangalore,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD859,Chandigarh,Nirma University,3rd,Electric Vehicle,Google Form
LD860,Jaipur,Nirma University,2nd,Robotics,WhatsApp
LD861,Delhi,Indus University,4th,Robotics,Instagram
LD862,Surat,Chandigarh University,3rd,Data Science,College Collaboration
LD863,Pune,Chandigarh University,2nd,Robotics,College Collaboration
LD864,Chandigarh,Indus University,4th,Data Science,WhatsApp
LD865,Chandigarh,Gujarat Institute Of Technology,1st,AI,College Collaboration
LD866,Hyderabad,Gujarat Institute Of Technology,4th,Robotics,Instagram
LD867,Delhi,Chandigarh University,2nd,Electric Vehicle,Mass-Mailing
LD868,Hyderabad,Nirma University,4th,AI,Mass-Mailing
LD869,Chandigarh,Chandigarh University,1st,Robotics,Mass-Mailing
LD870,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD871,Jaipur,St Xaviers College,1st,AI,Mass-Mailing
LD872,Bangalore,St Xaviers College,3rd,Electric Vehicle,WhatsApp
LD873,Bangalore,Gujarat Institute Of Technology,2nd,AI,Instagram
LD874,Delhi,St Xaviers College,1st,Robotics,Google Form
LD875,Ahmedabad,Indus University,3rd,Robotics,Mass-Mailing
LD876,Mumbai,CPET Academy,4th,Electric Vehicle,Google Form
LD877,Ahmedabad,Chandigarh University,2nd,Electric Vehicle,College Collaboration
LD878,Delhi,Nirma University,1st,AI,WhatsApp
LD879,Hyderabad,Indus University,3rd,Data Science,College Collaboration
LD880,Delhi,Nirma University,4th,AI,LinkedIn
LD881,Surat,Nirma University,3rd,Robotics,Mass-Mailing
LD882,Ahmedabad,Indus University,4th,AI,LinkedIn
LD883,Bangalore,Nirma University,3rd,Data Science,College Collaboration
LD884,Bangalore,Nirma University,2nd,Data Science,WhatsApp
LD885,Chandigarh,Indus University,2nd,Robotics,Google Form
LD886,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD887,Chandigarh,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD888,Delhi,Gujarat Institute Of Technology,3rd,AI,Mass-Mailing
LD889,Ahmedabad,Chandigarh University,3rd,AI,WhatsApp
LD890,Ahmedabad,Gujarat Institute Of Technology,2nd,Data Science,College Collaboration
LD891,Hyderabad,CPET Academy,4th,AI,College Collaboration
LD892,Delhi,Indus University,4th,Data Science,College Collaboration
LD893,Hyderabad,CPET Academy,3rd,Robotics,Instagram
LD894,Kolkata,Gujarat Institute Of Technology,3rd,Data Science,Instagram
LD895,Delhi,CPET Academy,1st,Electric Vehicle,College Collaboration
LD896,Mumbai,Nirma University,3rd,Data Science,Instagram
LD897,Jaipur,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD898,Delhi,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD899,Delhi,Indus University,2nd,AI,College Collaboration
LD900,Jaipur,Indus University,3rd,Data Science,WhatsApp
LD901,Surat,Nirma University,3rd,Robotics,College Collaboration
LD902,Mumbai,St Xaviers College,4th,AI,Instagram
LD903,Bangalore,Indus University,2nd,Electric Vehicle,WhatsApp
LD904,Mumbai,Chandigarh University,2nd,Electric Vehicle,Google Form
LD905,Chandigarh,Gujarat Institute Of Technology,2nd,Electric Vehicle,WhatsApp
LD906,Delhi,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD907,Bangalore,Gujarat Institute Of Technology,1st,Electric Vehicle,Instagram
LD908,Surat,St Xaviers College,3rd,Robotics,Google Form
LD909,Jaipur,Chandigarh University,2nd,AI,College Collaboration
LD910,Pune,CPET Academy,1st,Data Science,Mass-Mailing
LD911,Surat,Indus University,2nd,Data Science,Google Form
LD912,Ahmedabad,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD913,Delhi,CPET Academy,1st,Electric Vehicle,Instagram
LD914,Bangalore,Gujarat Institute Of Technology,1st,AI,LinkedIn
LD915,Ahmedabad,CPET Academy,1st,Robotics,Google Form
LD916,Jaipur,Indus University,1st,Robotics,Mass-Mailing
LD917,Hyderabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,WhatsApp
LD918,Ahmedabad,Chandigarh University,3rd,Electric Vehicle,LinkedIn
LD919,Jaipur,Indus University,3rd,Data Science,LinkedIn
LD920,Hyderabad,Chandigarh University,3rd,Data Science,WhatsApp
LD921,Jaipur,Nirma University,4th,Data Science,Google Form
LD922,Pune,Indus University,4th,Data Science,Instagram
LD923,Chandigarh,Chandigarh University,1st,Robotics,Google Form
LD924,Ahmedabad,CPET Academy,4th,AI,Google Form
LD925,Pune,Chandigarh University,3rd,Electric Vehicle,Mass-Mailing
LD926,Kolkata,Gujarat Institute Of Technology,3rd,AI,Instagram
LD927,Bangalore,CPET Academy,4th,Data Science,LinkedIn
LD928,Ahmedabad,CPET Academy,3rd,AI,WhatsApp
LD929,Mumbai,Chandigarh University,1st,Robotics,Mass-Mailing
LD930,Pune,Indus University,3rd,Data Science,Mass-Mailing
LD931,Bangalore,Indus University,4th,Data Science,Mass-Mailing
LD932,Ahmedabad,CPET Academy,2nd,Electric Vehicle,Google Form
LD933,Pune,Chandigarh University,1st,Data Science,Google Form
LD934,Kolkata,Nirma University,3rd,AI,College Collaboration
LD935,Kolkata,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD936,Ahmedabad,Gujarat Institute Of Technology,2nd,Robotics,WhatsApp
LD937,Bangalore,Chandigarh University,4th,AI,Mass-Mailing
LD938,Jaipur,Indus University,3rd,AI,WhatsApp
LD939,Delhi,Indus University,2nd,Robotics,LinkedIn
LD940,Delhi,St Xaviers College,1st,Electric Vehicle,Mass-Mailing
LD941,Pune,St Xaviers College,3rd,Electric Vehicle,Google Form
LD942,Chandigarh,St Xaviers College,3rd,Data Science,College Collaboration
LD943,Surat,St Xaviers College,2nd,Robotics,Mass-Mailing
LD944,Hyderabad,CPET Academy,1st,Robotics,Mass-Mailing
LD945,Bangalore,Gujarat Institute Of Technology,2nd,Electric Vehicle,WhatsApp
LD946,Bangalore,Nirma University,1st,AI,College Collaboration
LD947,Ahmedabad,CPET Academy,3rd,Electric Vehicle,WhatsApp
LD948,Pune,CPET Academy,2nd,Data Science,Instagram
LD949,Surat,Indus University,2nd,Electric Vehicle,Instagram
LD950,Ahmedabad,St Xaviers College,4th,Electric Vehicle,LinkedIn
LD951,Surat,CPET Academy,2nd,AI,Mass-Mailing
LD952,Bangalore,St Xaviers College,2nd,Data Science,Google Form
LD953,Mumbai,St Xaviers College,1st,AI,College Collaboration
LD954,Hyderabad,CPET Academy,3rd,Electric Vehicle,WhatsApp
LD955,Surat,Chandigarh University,3rd,Electric Vehicle,Google Form
LD956,Jaipur,CPET Academy,2nd,Electric Vehicle,LinkedIn
LD957,Kolkata,Nirma University,3rd,Electric Vehicle,Google Form
LD958,Chandigarh,Indus University,3rd,Electric Vehicle,Google Form
LD959,Mumbai,Chandigarh University,4th,AI,Mass-Mailing
LD960,Chandigarh,St Xaviers College,2nd,Electric Vehicle,Google Form
LD961,Ahmedabad,Indus University,2nd,AI,LinkedIn
LD962,Mumbai,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD963,Bangalore,Gujarat Institute Of Technology,1st,Robotics,WhatsApp
LD964,Kolkata,Indus University,1st,Electric Vehicle,College Collaboration
LD965,Jaipur,Nirma University,3rd,AI,College Collaboration
LD966,Jaipur,St Xaviers College,1st,Data Science,WhatsApp
LD967,Chandigarh,CPET Academy,2nd,Data Science,College Collaboration
LD968,Jaipur,Indus University,2nd,Data Science,Instagram
LD969,Ahmedabad,Chandigarh University,2nd,Robotics,Mass-Mailing
LD970,Surat,Nirma University,2nd,Robotics,Instagram
LD971,Jaipur,Indus University,2nd,Data Science,Mass-Mailing
LD972,Mumbai,St Xaviers College,4th,Electric Vehicle,Mass-Mailing
LD973,Surat,Gujarat Institute Of Technology,2nd,AI,Google Form
LD974,Surat,Indus University,3rd,AI,LinkedIn
LD975,Jaipur,Chandigarh University,1st,AI,Mass-Mailing
LD976,Hyderabad,Gujarat Institute Of Technology,4th,Robotics,Mass-Mailing
LD977,Kolkata,Chandigarh University,1st,Robotics,College Collaboration
LD978,Surat,Nirma University,1st,Electric Vehicle,Google Form
LD979,Delhi,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD980,Ahmedabad,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD981,Ahmedabad,Indus University,3rd,AI,College Collaboration
LD982,Chandigarh,Chandigarh University,2nd,AI,Instagram
LD983,Ahmedabad,Nirma University,4th,Data Science,LinkedIn
LD984,Mumbai,Nirma University,1st,Data Science,College Collaboration
LD985,Delhi,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD986,Kolkata,Gujarat Institute Of Technology,3rd,AI,Google Form
LD987,Bangalore,Indus University,2nd,AI,Instagram
LD988,Bangalore,Nirma University,4th,Data Science,College Collaboration
LD989,Ahmedabad,Indus University,4th,Data Science,Instagram
LD990,Pune,St Xaviers College,3rd,Robotics,LinkedIn
LD991,Delhi,Chandigarh University,1st,Robotics,Mass-Mailing
LD992,Surat,Chandigarh University,4th,Robotics,LinkedIn
LD993,Hyderabad,Gujarat Institute Of Technology,1st,Data Science,College Collaboration
LD994,Mumbai,Indus University,3rd,AI,Mass-Mailing
LD995,Pune,Chandigarh University,3rd,Robotics,Mass-Mailing
LD996,Hyderabad,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD997,Kolkata,CPET Academy,3rd,Data Science,Mass-Mailing
LD998,Jaipur,St Xaviers College,4th,AI,Google Form
LD999,Jaipur,Nirma University,1st,Electric Vehicle,College Collaboration
LD1000,Bangalore,Indus University,2nd,AI,WhatsApp
LD1001,Pune,St Xaviers College,2nd,AI,WhatsApp
LD1002,Chandigarh,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD1003,Surat,Indus University,2nd,Data Science,WhatsApp
LD1004,Delhi,Gujarat Institute Of Technology,1st,Robotics,College Collaboration
LD1005,Delhi,CPET Academy,2nd,Robotics,Mass-Mailing
LD1006,Surat,Gujarat Institute Of Technology,3rd,Robotics,College Collaboration
LD1007,Pune,Chandigarh University,3rd,AI,Instagram
LD1008,Surat,St Xaviers College,1st,Robotics,Google Form
LD1009,Chandigarh,St Xaviers College,1st,Robotics,Instagram
LD1010,Mumbai,Chandigarh University,4th,Electric Vehicle,Google Form
LD1011,Hyderabad,St Xaviers College,2nd,AI,Google Form
LD1012,Pune,Nirma University,4th,AI,College Collaboration
LD1013,Mumbai,Indus University,4th,Data Science,LinkedIn
LD1014,Hyderabad,Chandigarh University,2nd,AI,WhatsApp
LD1015,Kolkata,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD1016,Delhi,Chandigarh University,3rd,Data Science,WhatsApp
LD1017,Jaipur,Indus University,2nd,Electric Vehicle,Mass-Mailing
LD1018,Mumbai,Chandigarh University,2nd,Data Science,Mass-Mailing
LD1019,Kolkata,St Xaviers College,1st,Data Science,LinkedIn
LD1020,Hyderabad,St Xaviers College,2nd,Electric Vehicle,WhatsApp
LD1021,Chandigarh,Chandigarh University,4th,Data Science,LinkedIn
LD1022,Jaipur,Chandigarh University,3rd,Electric Vehicle,Google Form
LD1023,Hyderabad,Chandigarh University,1st,Electric Vehicle,WhatsApp
LD1024,Jaipur,Chandigarh University,2nd,Electric Vehicle,Mass-Mailing
LD1025,Surat,Gujarat Institute Of Technology,2nd,AI,Instagram
LD1026,Chandigarh,St Xaviers College,2nd,AI,LinkedIn
LD1027,Kolkata,Chandigarh University,2nd,AI,Instagram
LD1028,Hyderabad,CPET Academy,2nd,Electric Vehicle,LinkedIn
LD1029,Chandigarh,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD1030,Bangalore,Gujarat Institute Of Technology,1st,Data Science,WhatsApp
LD1031,Delhi,CPET Academy,2nd,Robotics,College Collaboration
LD1032,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD1033,Delhi,Nirma University,3rd,AI,Mass-Mailing
LD1034,Jaipur,Chandigarh University,1st,Robotics,College Collaboration
LD1035,Jaipur,Chandigarh University,2nd,Robotics,Google Form
LD1036,Surat,Chandigarh University,2nd,Data Science,LinkedIn
LD1037,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD1038,Bangalore,Indus University,4th,AI,College Collaboration
LD1039,Jaipur,St Xaviers College,4th,AI,Google Form
LD1040,Chandigarh,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD1041,Bangalore,CPET Academy,3rd,Electric Vehicle,Mass-Mailing
LD1042,Delhi,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD1043,Ahmedabad,St Xaviers College,3rd,AI,College Collaboration
LD1044,Pune,CPET Academy,3rd,Robotics,Mass-Mailing
LD1045,Hyderabad,CPET Academy,2nd,AI,LinkedIn
LD1046,Pune,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD1047,Mumbai,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD1048,Jaipur,Chandigarh University,4th,Electric Vehicle,LinkedIn
LD1049,Jaipur,St Xaviers College,1st,Data Science,Instagram
LD1050,Jaipur,St Xaviers College,2nd,Data Science,Instagram
LD1051,Jaipur,Chandigarh University,2nd,Data Science,Google Form
LD1052,Chandigarh,Indus University,2nd,Data Science,WhatsApp
LD1053,Ahmedabad,St Xaviers College,1st,Electric Vehicle,Mass-Mailing
LD1054,Hyderabad,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD1055,Jaipur,Chandigarh University,1st,Data Science,Google Form
LD1056,Kolkata,Indus University,1st,Electric Vehicle,Mass-Mailing
LD1057,Pune,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD1058,Hyderabad,St Xaviers College,2nd,Data Science,LinkedIn
LD1059,Jaipur,Gujarat Institute Of Technology,1st,AI,Mass-Mailing
LD1060,Chandigarh,Chandigarh University,4th,Data Science,College Collaboration
LD1061,Pune,Gujarat Institute Of Technology,4th,Data Science,Instagram
LD1062,Mumbai,Indus University,1st,AI,Mass-Mailing
LD1063,Hyderabad,Indus University,1st,Robotics,WhatsApp
LD1064,Bangalore,St Xaviers College,4th,AI,WhatsApp
LD1065,Kolkata,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD1066,Bangalore,Chandigarh University,2nd,Electric Vehicle,Google Form
LD1067,Mumbai,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD1068,Bangalore,Nirma University,1st,Electric Vehicle,Instagram
LD1069,Mumbai,Nirma University,4th,Electric Vehicle,Google Form
LD1070,Mumbai,Gujarat Institute Of Technology,3rd,Electric Vehicle,LinkedIn
LD1071,Kolkata,Chandigarh University,4th,Electric Vehicle,WhatsApp
LD1072,Hyderabad,CPET Academy,2nd,Electric Vehicle,College Collaboration
LD1073,Jaipur,Indus University,1st,Data Science,Mass-Mailing
LD1074,Chandigarh,Gujarat Institute Of Technology,3rd,Robotics,Instagram
LD1075,Delhi,CPET Academy,2nd,Electric Vehicle,Instagram
LD1076,Kolkata,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD1077,Ahmedabad,Nirma University,1st,AI,WhatsApp
LD1078,Mumbai,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD1079,Chandigarh,Gujarat Institute Of Technology,1st,AI,Mass-Mailing
LD1080,Jaipur,Indus University,4th,AI,Google Form
LD1081,Bangalore,St Xaviers College,1st,AI,WhatsApp
LD1082,Chandigarh,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD1083,Jaipur,Indus University,1st,Robotics,WhatsApp
LD1084,Jaipur,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD1085,Hyderabad,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD1086,Jaipur,Nirma University,4th,Data Science,Instagram
LD1087,Ahmedabad,Gujarat Institute Of Technology,1st,Electric Vehicle,LinkedIn
LD1088,Surat,CPET Academy,4th,AI,LinkedIn
LD1089,Kolkata,Indus University,1st,Electric Vehicle,LinkedIn
LD1090,Bangalore,Chandigarh University,2nd,Robotics,WhatsApp
LD1091,Hyderabad,Chandigarh University,4th,Robotics,Instagram
LD1092,Surat,Indus University,2nd,AI,WhatsApp
LD1093,Chandigarh,St Xaviers College,4th,Robotics,LinkedIn
LD1094,Chandigarh,CPET Academy,4th,Electric Vehicle,LinkedIn
LD1095,Bangalore,Chandigarh University,3rd,AI,Instagram
LD1096,Pune,CPET Academy,2nd,Data Science,LinkedIn
LD1097,Kolkata,St Xaviers College,1st,Robotics,LinkedIn
LD1098,Ahmedabad,CPET Academy,2nd,Robotics,College Collaboration
LD1099,Ahmedabad,Chandigarh University,3rd,AI,Google Form
LD1100,Delhi,CPET Academy,1st,Robotics,Google Form
LD1101,Bangalore,Gujarat Institute Of Technology,4th,Robotics,LinkedIn
LD1102,Chandigarh,Nirma University,2nd,Robotics,Instagram
LD1103,Surat,St Xaviers College,3rd,AI,Google Form
LD1104,Surat,Indus University,4th,AI,WhatsApp
LD1105,Pune,CPET Academy,1st,Robotics,Instagram
LD1106,Mumbai,CPET Academy,4th,Data Science,College Collaboration
LD1107,Delhi,Gujarat Institute Of Technology,3rd,Data Science,College Collaboration
LD1108,Surat,Nirma University,3rd,Robotics,LinkedIn
LD1109,Hyderabad,St Xaviers College,3rd,Robotics,LinkedIn
LD1110,Chandigarh,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD1111,Kolkata,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD1112,Delhi,CPET Academy,4th,AI,WhatsApp
LD1113,Chandigarh,Nirma University,3rd,AI,LinkedIn
LD1114,Surat,Chandigarh University,3rd,Electric Vehicle,LinkedIn
LD1115,Bangalore,CPET Academy,2nd,Robotics,Mass-Mailing
LD1116,Jaipur,St Xaviers College,1st,Electric Vehicle,Google Form
LD1117,Delhi,Chandigarh University,2nd,Electric Vehicle,Mass-Mailing
LD1118,Kolkata,Indus University,4th,Robotics,WhatsApp
LD1119,Chandigarh,Nirma University,1st,Robotics,WhatsApp
LD1120,Hyderabad,Chandigarh University,1st,Electric Vehicle,LinkedIn
LD1121,Jaipur,Nirma University,1st,Data Science,LinkedIn
LD1122,Pune,Gujarat Institute Of Technology,4th,Robotics,LinkedIn
LD1123,Pune,CPET Academy,3rd,AI,Google Form
LD1124,Chandigarh,Gujarat Institute Of Technology,1st,AI,Mass-Mailing
LD1125,Ahmedabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,WhatsApp
LD1126,Pune,Chandigarh University,3rd,Electric Vehicle,College Collaboration
LD1127,Delhi,CPET Academy,4th,Robotics,College Collaboration
LD1128,Ahmedabad,Gujarat Institute Of Technology,2nd,AI,WhatsApp
LD1129,Pune,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD1130,Chandigarh,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD1131,Surat,Indus University,2nd,AI,Mass-Mailing
LD1132,Hyderabad,Indus University,1st,Electric Vehicle,LinkedIn
LD1133,Kolkata,CPET Academy,3rd,Electric Vehicle,WhatsApp
LD1134,Bangalore,Gujarat Institute Of Technology,4th,Data Science,College Collaboration
LD1135,Ahmedabad,Nirma University,2nd,Electric Vehicle,WhatsApp
LD1136,Ahmedabad,CPET Academy,4th,Electric Vehicle,College Collaboration
LD1137,Kolkata,Chandigarh University,4th,AI,College Collaboration
LD1138,Chandigarh,St Xaviers College,4th,Robotics,LinkedIn
LD1139,Mumbai,Gujarat Institute Of Technology,1st,Robotics,Mass-Mailing
LD1140,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,College Collaboration
LD1141,Surat,Chandigarh University,3rd,Robotics,WhatsApp
LD1142,Bangalore,Gujarat Institute Of Technology,1st,Electric Vehicle,WhatsApp
LD1143,Hyderabad,Nirma University,2nd,Data Science,Google Form
LD1144,Ahmedabad,Nirma University,1st,AI,Instagram
LD1145,Hyderabad,Chandigarh University,2nd,Data Science,LinkedIn
LD1146,Kolkata,St Xaviers College,4th,Robotics,Instagram
LD1147,Surat,Indus University,4th,AI,Instagram
LD1148,Mumbai,St Xaviers College,1st,Robotics,Google Form
LD1149,Delhi,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD1150,Hyderabad,CPET Academy,4th,Robotics,Mass-Mailing
LD1151,Hyderabad,St Xaviers College,3rd,Data Science,Google Form
LD1152,Chandigarh,CPET Academy,3rd,Data Science,Mass-Mailing
LD1153,Surat,Chandigarh University,1st,Data Science,Mass-Mailing
LD1154,Pune,CPET Academy,3rd,Electric Vehicle,College Collaboration
LD1155,Delhi,CPET Academy,1st,Robotics,Instagram
LD1156,Hyderabad,Indus University,1st,Electric Vehicle,College Collaboration
LD1157,Surat,CPET Academy,3rd,Data Science,Google Form
LD1158,Hyderabad,Nirma University,2nd,Data Science,College Collaboration
LD1159,Delhi,CPET Academy,3rd,Data Science,Instagram
LD1160,Hyderabad,CPET Academy,4th,Robotics,Instagram
LD1161,Mumbai,Indus University,2nd,Data Science,College Collaboration
LD1162,Kolkata,Nirma University,4th,Data Science,Mass-Mailing
LD1163,Pune,Nirma University,2nd,Robotics,College Collaboration
LD1164,Jaipur,St Xaviers College,1st,Robotics,WhatsApp
LD1165,Bangalore,St Xaviers College,1st,Electric Vehicle,Mass-Mailing
LD1166,Delhi,St Xaviers College,2nd,Robotics,LinkedIn
LD1167,Jaipur,Indus University,2nd,Robotics,WhatsApp
LD1168,Pune,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD1169,Ahmedabad,St Xaviers College,1st,Robotics,WhatsApp
LD1170,Bangalore,Indus University,4th,AI,College Collaboration
LD1171,Jaipur,Indus University,3rd,Data Science,LinkedIn
LD1172,Mumbai,St Xaviers College,3rd,Robotics,Mass-Mailing
LD1173,Pune,St Xaviers College,3rd,Data Science,Mass-Mailing
LD1174,Pune,CPET Academy,4th,Electric Vehicle,Mass-Mailing
LD1175,Ahmedabad,St Xaviers College,4th,AI,LinkedIn
LD1176,Pune,St Xaviers College,1st,Data Science,Instagram
LD1177,Pune,Nirma University,4th,Data Science,Google Form
LD1178,Chandigarh,Indus University,4th,Data Science,Mass-Mailing
LD1179,Chandigarh,Chandigarh University,1st,Electric Vehicle,LinkedIn
LD1180,Ahmedabad,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD1181,Chandigarh,St Xaviers College,1st,AI,LinkedIn
LD1182,Ahmedabad,Indus University,4th,AI,WhatsApp
LD1183,Surat,St Xaviers College,4th,Electric Vehicle,College Collaboration
LD1184,Bangalore,Nirma University,3rd,Robotics,Mass-Mailing
LD1185,Pune,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD1186,Bangalore,Gujarat Institute Of Technology,2nd,AI,LinkedIn
LD1187,Delhi,CPET Academy,1st,Data Science,LinkedIn
LD1188,Jaipur,Indus University,4th,AI,Instagram
LD1189,Jaipur,Gujarat Institute Of Technology,4th,Robotics,WhatsApp
LD1190,Mumbai,Chandigarh University,4th,AI,Google Form
LD1191,Surat,Gujarat Institute Of Technology,2nd,Data Science,College Collaboration
LD1192,Chandigarh,CPET Academy,2nd,Electric Vehicle,Google Form
LD1193,Ahmedabad,CPET Academy,2nd,AI,Google Form
LD1194,Mumbai,Chandigarh University,1st,Robotics,Google Form
LD1195,Delhi,Nirma University,4th,Robotics,Google Form
LD1196,Surat,Indus University,1st,Robotics,Instagram
LD1197,Jaipur,Nirma University,3rd,AI,Google Form
LD1198,Surat,Gujarat Institute Of Technology,4th,Robotics,College Collaboration
LD1199,Bangalore,St Xaviers College,4th,AI,Google Form
LD1200,Chandigarh,Chandigarh University,1st,Robotics,Mass-Mailing
LD1201,Chandigarh,St Xaviers College,1st,Data Science,Mass-Mailing
LD1202,Hyderabad,Gujarat Institute Of Technology,3rd,AI,Google Form
LD1203,Ahmedabad,Nirma University,3rd,Data Science,LinkedIn
LD1204,Jaipur,Chandigarh University,1st,Data Science,College Collaboration
LD1205,Hyderabad,Indus University,4th,AI,College Collaboration
LD1206,Ahmedabad,Gujarat Institute Of Technology,3rd,Robotics,Instagram
LD1207,Ahmedabad,Chandigarh University,3rd,Data Science,Instagram
LD1208,Ahmedabad,Gujarat Institute Of Technology,1st,AI,LinkedIn
LD1209,Bangalore,Nirma University,4th,Data Science,Mass-Mailing
LD1210,Ahmedabad,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD1211,Jaipur,Gujarat Institute Of Technology,3rd,Robotics,WhatsApp
LD1212,Jaipur,Indus University,1st,Robotics,College Collaboration
LD1213,Ahmedabad,Nirma University,2nd,Data Science,LinkedIn
LD1214,Mumbai,Gujarat Institute Of Technology,1st,AI,LinkedIn
LD1215,Jaipur,Gujarat Institute Of Technology,3rd,AI,LinkedIn
LD1216,Jaipur,St Xaviers College,1st,AI,Google Form
LD1217,Chandigarh,CPET Academy,1st,Robotics,Google Form
LD1218,Ahmedabad,Indus University,4th,AI,College Collaboration
